"id","GM.vol.C","GM.vol.A","WM.vol.C","WM.fa.C","WM.fa.A","side","area"
"left cerebellum",0.901310410856438,NA,-1.10708104247827,NA,NA,"left"," cerebellum"
"left cingulate",1.49995432559036,NA,NA,NA,NA,"left"," cingulate"
"left frontal",-0.587984492932127,-1.14006879458759,-1.34023790151862,NA,NA,"left"," frontal"
"left insular cortex",0.0628004670784053,-1.35347024211868,0.00791289761248228,NA,NA,"left"," insular cortex"
"left occipital",-0.525152271595504,-1.39783185297582,0.50244023746268,-0.72542994011976,NA,"left"," occipital"
"left parietal",-0.887484999306365,0.389620086257098,-1.30813904368753,NA,NA,"left"," parietal"
"left temporal lobe",-0.115968088128409,-0.830154051262009,-0.478048386793488,-0.698033760069376,NA,"left"," temporal lobe"
"left thalmus",1.28155471698113,NA,NA,NA,NA,"left"," thalmus"
"right cerebellum",1.68157025193352,NA,-1.51349433962264,NA,NA,"right"," cerebellum"
"right cingulate cortex",-0.801750649350649,-1.48261003943256,NA,NA,NA,"right"," cingulate cortex"
"right entorhinal",0.0586465643795518,0.007072494142497,NA,NA,NA,"right"," entorhinal"
"right frontal",-2.55931212324762,-1.43765580563091,-2.30985090931411,NA,-0.873619047619048,"right"," frontal"
"right insular cortex",-0.133917583262132,-1.52455436181408,0.736985692013467,-0.817766990291262,NA,"right"," insular cortex"
"right occipital",-1.7301425483578,-1.523678974543,NA,-0.72542994011976,-0.910475395405741,"right"," occipital"
"right parietal",-1.11250143291648,0.34050784672945,NA,NA,NA,"right"," parietal"
"right temporal lobe",-0.542741493811156,0.72702164548263,-0.552894497202396,-0.829837181528502,-1.79336822429907,"right"," temporal lobe"
"left cingulate cortex",NA,-2.88345926666667,-1.37864537815126,0.297000872627834,NA,"left"," cingulate cortex"
"left hypothalamus",NA,-1.9371568448,NA,NA,NA,"left"," hypothalamus"
"right hypothalamus",NA,-2.04704742009711,NA,NA,NA,"right"," hypothalamus"
"left tract",NA,NA,-1.38563076923077,-1.54930566037736,NA,"left"," tract"
"right forebrain",NA,NA,-1.38563076923077,NA,NA,"right"," forebrain"
"left brainstem",NA,NA,NA,-0.0155674551098592,NA,"left"," brainstem"
"right brainstem",NA,NA,NA,-0.24756940736338,NA,"right"," brainstem"
"right thalmus",NA,NA,NA,-0.923837272737724,NA,"right"," thalmus"
"right tract",NA,NA,NA,-1.00398943453377,-0.881155352976401,"right"," tract"
"right frontal lobe",NA,NA,NA,NA,-1.97609719626168,"right"," frontal lobe"
"right parietal lobe",NA,NA,NA,NA,-1.70258691588785,"right"," parietal lobe"
